exercise_id,exercise_name,description,type,difficulty,equipment
28,Close grip push-up,"Both upper and lower body must be kept straight throughout movement. Lie prone with forefeet on floor and hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight. Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",Compound,Hard,Body weight
29,Triceps dip,"Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight. Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat. To decrease difficulty, use bands, a machine, training partner or self assistance using legs.",Compound,Hard,Body weight
30,Suspended triceps extension,"Grasp handles and step forward between suspension trainers. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet so body is leaning forward at desired angle. Straighten body, so torso is in-line with legs. Lower body by bending elbows, allowing head to travel between suspension handles. Raise body up and back up until arms are extended. Repeat.",Isolated,Hard,Suspension trainer
31,Barbell front raise,"Grasp barbell with overhand grip with elbows straight or slightly bent. Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat. Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement.",Isolated,Medium,Barbell
32,Barbell military press,"Grasp barbell from rack or clean barbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck. Press bar upward until arms are extended overhead. Lower to front of neck and repeat. Feet may be positioned shoulder width apart or one foot in front of other with forward leg slightly bent (as shown). Upper chest assists (instead of side delts) since grip is slightly narrower and chest is high with low back arched back slightly. Also known as Overhead Press.",Compound,Hard,Barbell
33,Barbell seated military press,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest. Press bar upward until arms are extended overhead. Return to upper chest and repeat. Set barbell on forward rack slightly below shoulder height so bar may be more easily unracked and racked. Position seat so bar does not hit uprights but close enough to easily mount and rack. Range of motion will be compromised if grip is too wide. Grip is slightly narrower than shoulder press. Torso is postured more upright than traditional military press.,Compound,Medium,Barbell
34,Cable isolateral seated front raise,"Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back. Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat. Height of movement may depend on range of motion or when stirrup or cable makes contact with underside of forearm. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement. Additionally, can be done alternating or with one arm.",Isolated,Easy,Cable
35,Cable isolateral standing shoulder press,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows. Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat. Wrists maintain their approximate position above each elbow throughout movement. Feet may be positioned apart to each side or one foot back as shown. Cable pulleys should be much closer together than what is typically found on standard cable cross over setup. Can be done seated for more stability.,Compound,Medium,Cable
36,Dumbbell arnold press,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists. Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat. Movement should emphasise shoulder abduction while minimising forearm pronation as this exercise attempts to combine lateral raise like motion with shoulder press. Lean forward slightly when lifting Dumbbells.",Compound,Medium,Dumbbell
37,Dumbbell front raise,"Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent. Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat. Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement.",Isolated,Easy,Dumbbell
38,Dumbbell shoulder press,Position dumbbells to each side of shoulders with elbows below wrists. Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,Compound,Medium,Dumbbell
39,Lever isolateral military press,Set and grasp lever handles to each side with overhand grip. Press lever until arms are extended upward. Lower and repeat. Range of motion will be compromised if grip is too wide. Seat should be set so only slight stretch is felt in shoulder at bottom of movement.,Compound,Medium,Machine
40,Lever Reclined Shoulder Press,Lie on back pad facing up. Grasp lever handles on each side with overhand grip. Press lever until arms are extended. Lower and repeat. Range of motion will be compromised if grip is too wide.,Compound,Hard,Machine
41,Lever Isolateral Shoulder Press ,Set and grasp lever handles to each side with overhand grip. Press lever upward until arms are extended overhead. Lower and repeat. Range of motion will be compromised if grip is too wide.,Compound,Medium,Machine
42,Sled Shoulder Press,Set and grasp lever handles to each side with overhand grip. Press handles upward until arms are extended overhead. Lower and repeat. Range of motion will be compromised if grip is too wide.,Compound,Medium,Machine
43,Smith Shoulder Press,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by raising and rotating bar back. Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat. Pull head back slightly so bar does not make contact with head. Range of motion will be compromised if grip is too wide.,Compound,Medium,Smith machine
44,Pike Press (between benches),"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight. Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat. Pike Press (for front delts) differs from Pike Push-Up (for upper chest) in that, feet are at closer distance to hands so body is more inverted in lowest position. Keep knees and back straight. A slight curve (spinal flexion) is acceptable, particularly if hamstrings are tight For greater challenge, elevate feet.",Compound,Hard,Body weight
45,Suspended Front Raise,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward. Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat. At higher angles, feet can be placed flat on floor. When angled further back, only heels may contact floor with forefeet raising upward. Dismounting can be achieved by walking backward until body is upright. This movement can be made more challenging by placing feet more forward, thereby angling body back at initiation of movement.",Isolated,Medium,Suspension trainer
46,Barbell Upright Row,Grasp bar with shoulder width or slightly narrower overhand grip. Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Compound,Easy,Barbell
47,Cable One Arm Lateral Raise,"Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available. With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat. Continue with opposite arm. Maintain fixed elbow position (10° to 30° angle) throughout exercise. Height of cable pulley may be adjusted to mid-thigh height to increase load throughout initial range of motion while decreasing it near terminal range of motion.",Isolated,Easy,Cable
48,Cable Upright Row,"Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley. Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat. A shoulder width grip is suggested when performing the upright row, as a narrower grip may agitate the rotator cuff muscles.",Compound,Medium,Cable
49,Dumbbell Lateral Raise,"Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly. Raise upper arms to sides until slightly bent elbows are shoulder height while maintaining elbows' height above or equal to wrists. Lower and repeat. Keep elbows pointed high while maintaining slight bend through elbows (10° to 30° angle) throughout movement. At top of movement, elbows (not necessarily dumbbells) should be directly lateral to shoulders since elbows are slightly bent forward. If elbows drop lower than wrists, front deltoids become primary mover instead of lateral deltoids. To keep resistance targeted to side delt, torso is bent over slightly.",Isolated,Easy,Dumbbell
50,Dumbbell Upright Row,"Grasp dumbbells and stand with palms facing front of thighs. Pull dumbbells to front of shoulders or front sides of chest with elbows leading out to sides. Allow wrists to flex as dumbbells rise upward. Lower and repeat. When dumbbells are raised, wrists should be in front or just below of shoulders; elbows should be to sides, not pointing forward. A shoulder width grip is suggested when performing the upright row, as a narrower grip may agitate the rotator cuff muscles. Can be performed with one arm.",Compound,Medium,Dumbbell
51,Lever Isolateral Lateral Raise,Sit in machine. Situate bent arms between padded lever and sides of body. Raise arms to sides until upper arms are horizontal. Return and repeat.,Isolated,Easy,Machine
52,Smith Upright Row,"Stand behind bar mid-thigh height. Grasp bar with shoulder width or slightly narrower overhand grip. Disengage bar by rotating bar back and stand upright. Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat. A shoulder width grip is suggested when performing the upright row, as a narrower grip may agitate the rotator cuff muscles.",Compound,Medium,Smith machine
53,Barbell Rear Delt Row,"Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip. Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat. If upper arm travels closer than perpendicular to trunk, latissimus dorsi becomes involved. Elbows should be raised directly lateral to shoulders. Positioning torso at 45° is not sufficient angle to target rear deltoids. Keep torso bent over approximately horizontal. Knees are bent in effort to keep low back straight",Compound,Hard,Barbell
54,Cable Rear Delt Row,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With elbow width overhand grip, straighten torso upright and slide hips back until knees are only slightly bent. Pull cable attachment toward upper chest, just below neck, with elbows up out to sides until elbows travel slightly behind back. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat. Elbows should be kept same height as shoulders when approaching upper chest, otherwise the latissimus dorsi become involved.",Compound,Medium,Cable
55,Dumbbell Rear Delt Row,"Kneel over side of bench with arm and leg to side. Grasp dumbbell. Pull dumbbell up out to side with upper arm perpendicular to trunk until upper arm is just beyond horizontal. Lower and repeat. If upper arm travels closer than perpendicular to trunk, latissimus dorsi becomes involved. Keep torso bent over approximately horizontal.",Compound,Easy,Dumbbell
56,Lever Isolateral Rear Delt Row ,"Place seat at low position. Sit on seat with chest against pad and grasp upper handles. Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Compound,Medium,Machine
57,Lever Isolateral Seated Reverse Fly ,"Sit on machine with chest against pad. Grasp parallel handles with thumbs up at shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are also at height of shoulders. Keeping elbows pointed high, pull handles apart and to rear until elbows are just behind back. Return and repeat. Natural tendency is for shoulders to point down which places greater emphasis on lateral deltoid and possibly latissimus dorsi if elbows drop below transverse plain of shoulders. Seat height and grip should be adjusted to keep arms at transverse plane of shoulders to maximise rear delt involvement throughout exercise. If shoulder internal rotation cannot be maintained by keeping elbows pointed back, consider thumbs down grip to maximize rear delt isolation.",Isolated,Easy,Machine
58,Smith Rear Delt Row,"Stand near low smith bar. Bend knees and bend over bar with back straight. Grasp bar with wide overhand grip. Disengage bar by rotating bar back. Keeping upper arm perpendicular to torso, pull bar up toward upper chest until upper arms are just beyond parallel to floor. Return and repeat. If upper arm travels closer than perpendicular to trunk, latissimus dorsi becomes involved. Elbows should be raised directly lateral to shoulders. Positioning torso at 45° is not sufficient angle to target rear deltoids. Keep torso bent over approximately horizontal. If low back becomes rounded due to tight hamstrings, either knees should be bent more or torso may not be positioned as low.",Compound,Medium,Smith machine
59,Rear Delt Inverted Row (high bar),"Stand facing horizontal bar positioned lower to upper chest height. Step toward bar so chest makes contact. Grasp bar with wide overhand grip. Raise elbows up to shoulder height. Place feet forward on floor so body is reclined back with legs, hips and spine straight. Lower body while keeping body straight, elbows high, and upper arms perpendicular to torso, until arms are extended straight. Pull shoulders toward bar while keeping elbows up high until upper arms are parallel to one another, or just beyond. Repeat. If elbows fall so upper arms no longer travel perpendicular to trunk, latissimus dorsi becomes involved. Elbows should be positioned directly lateral to shoulders at highest position. Pulling bar to lower chest is not sufficient angle to target rear deltoids. Bar height can be adjusted to vary resistance.",Compound,Hard,Body weight
60,Rear Delt Inverted Row (on hips),"Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip. Turn elbows outward to sides. Walk forward under bar while pulling upper chest close to bar. With heels on floor, position body at angle under bar with legs, hips and spine straight. Position forearms perpendicular to body, orientated forward. Also, position upper arms perpendicular to body, orientated to each side. Keeping hips on floor, low back straight, and elbow pointed out to sides; pull torso up to bar. Return when upper arms are just beyond parallel to one another. Lower body downward until arms are extended straight. Return and repeat. If elbows fall so upper arms no longer travel perpendicular to trunk, latissimus dorsi becomes involved. Elbows should be positioned directly lateral to shoulders at highest position. Pulling bar to lower chest is not sufficient angle to target rear deltoids.",Compound,Hard,Body weight
61,Suspended Rear Delt Row,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight. Internally rotate shoulders so elbows are positioned directly outwards. Pull body up while keeping elbows pointed directly out to each side and body and legs straight. Pull until elbows are directly lateral to each side without allowing elbows to drop. Return until arms are extended straight and shoulders are stretched forward, maintaining high elbow position. Repeat. If elbows fall so upper arms no longer travel perpendicular to trunk, latissimus dorsi becomes involved.",Compound,Medium,Suspension trainer
62,Cable Front Lateral Raise,"Grasp dumbbell cable attachment. Stand facing side with resting arm toward low pulley. Grasp ballet bar if available for support. Internally rotate shoulders so elbows point out to sides. With elbow straight or slightly bent, raise upper arm away from low pulley to side, slightly to front (30°) until upper arm is shoulder height. Lower and repeat. Continue with opposite arm.",Isolated,Easy,Cable
63,Dumbbell Front Lateral Raise,"Grasp dumbbell and position in front of thigh with arm straight. Turn pinkie finger side outward. Raise arms to side, slightly to front until shoulder height or slightly higher. Lower and repeat. Continue with opposite arm. Raise toward 10 o'clock with left arm and toward 2 o'clock with right arm. Maintain straight elbow position with elbow pointing outward throughout exercise.",Isolated,Easy,Dumbbell
64,Barbell Wrist Curl,Sit and grasp bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees. Allow barbell to roll out of palms down to fingers. Raise barbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat. Keep elbows approximately wrist height to maintain resistance through full range of motion.,Isolated,Medium,Barbell
65,Cable Wrist Curl,Sit and grasp cable bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees. Allow cable bar to roll out of palms down to fingers. Raise cable bar back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,Isolated,Easy,Cable
66,Dumbbell Wrist Curl,Sit and grasp dumbbell with underhand grip. Rest forearm on thigh with wrist just beyond knee. Allow dumbbell to roll out of palm down to fingers. Raise dumbbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,Isolated,Easy,Dumbbell
67,Lever Grip,"Sit on seat, straddling apparatus. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars. Squeeze bars together with both hands until lower lever makes contact with upper bars. Lower to original position and repeat.",Isolated,Easy,Machine
68,Barbell Reverse Wrist Curl,Sit and grasp bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees. Raise barbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat. Keep elbows approximately wrist height to maintain resistance through full range of motion.,Isolated,Medium,Barbell
69,Cable Reverse Wrist Curl,Sit and grasp cable bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees. Raise stirrup by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat. Do not allow elbows to rise.,Isolated,Easy,Cable
70,Dumbbell Reverse Wrist Curl,Sit and grip dumbbell with overhand grip. Rest forearm on thigh with wrist just beyond knee. Raise dumbbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat. Keep elbow approximately wrist height to maintain resistance through full range of motion. Hand may be placed under wrist to offer stability and to maintain horizontal orientation of forearm.,Isolated,Easy,Dumbbell
71,Lever Reverse Wrist Curl ,Grasp bar with overhand grip. Place forearm on padded platform. Raise bar until wrist is fully hyperextended and return until wrist is fully flexed. Repeat.,Isolated,Easy,Machine
72,Machine-assisted Chest Dip,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.",Compound,Easy,Machine
73,Barbell Bench Press ,"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest. Lower weight to lower chest. Press bar upward until arms are extended. Repeat. Range of motion will be compromised if grip is too wide. Can be done on an incline to target upper pecs.",Compound,Hard,Barbell
74,Cable Isolateral Standing Fly,"Grasp two opposing high pulley dumbbell attachments. Stand with pulleys to each side. Bend over slightly by flexing hips and knees. Bend elbows slightly and internally rotate shoulders so elbows are back initially. Bring cable attachments together in hugging motion with elbows in fixed position. Keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. Return to starting position until chest muscles are stretched. Repeat. Under greater resistance, positioning torso at lower angle downward (by bending over at hips), will allow upper body weight to counterbalance upward pull of cables, as opposed to stepping forward and struggling with backward pull of cables.",Isolated,Medium,Cable
75,Dumbbell Bench Press,"Sit down on bench with dumbbells resting on lower thigh. Kick weights to shoulder and lie back. Position dumbbells to sides of chest with bent arm under each dumbbell. Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat. Dumbbells should follow slight arch pattern, above upper arm between elbow and chest at bottom, traveling inward over each shoulder at top. Can be done on an incline to target upper pecs.",Compound,Medium,Dumbbell
76,Dumbbell Fly,"Grasp two dumbbells. Lie supine on bench. Support dumbbells above chest with arms fixed in slightly bent position. Internally rotate shoulders so elbows point out to sides. Lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat. Keep shoulders internally rotated so elbows point downward at bottom position and outward at top position. Keep elbows at fixed angle, only slightly bent.",Isolated,Easy,Dumbbell
77,Dumbbell Pullover,"Lie on upper back perpendicular to bench. Flex hips slightly. Grasp one dumbbell from behind or from side with both hands under inner plate of dumbbell. Position dumbbell over chest with elbows slightly bent. Keeping elbows slightly bent throughout movement, lower dumbbell over and beyond head until upper arms are in-line with torso. Pull dumbbell up and over chest. Repeat. Lower body extending off of bench acts as counter balance to resistance and keeps upper back fixed on bench. Avoid hips from raising up significantly. Actual range of motion is dependent upon individual shoulder flexibility. Keep elbows fixed at small bend throughout exercise.",Isolated,Hard,Dumbbell
78,Chest Dip,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat. To decrease difficulty, get assistance from machine or training partner. Also try performing movement between two benches or self assisted by placing feet on bench or elevation, or by using bands. Can be made harder by adding weights to oneself.",Compound,Hard,Body weight
79,Push-up,"Lie prone with forefeet on floor and hands slightly wider than shoulder width. Raise body up off floor by extending arms with body straight. Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat. Both upper and lower body must be kept straight throughout movement. Resistance can be reduced by performing push-ups with knees bent on floor or placing hands on elevated horizontal bar, in between narrow doorway, or edge of elevated surface.",Compound,Medium,Body weight
80,Lever Isolateral Bench Press,Lie supine on bench with chest under lever bar. Grasp lever bar with wide oblique overhand grip. Press bar until arms are extended. Lower weight to upper chest. Repeat. Range of motion will be compromised if grip is too wide.,Compound,Medium,Machine
81,Lever Isolateral Chest Press,Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders. Press levers until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.,Compound,Easy,Machine
82,Lever Isolateral Seated Fly,"Sit on machine with back on pad. Grasp handles to both sides, shoulder height. Bend elbows slightly and internally rotate shoulders so elbows are pointing backward. Maintaining shoulders internally rotated, move handles forward and together handles reach forward position. Return handles back toward original position until mild stretch is felt in chest or shoulder. Repeat. Shoulders are kept internally rotated so elbows are pointing out to sides. The starting position of levers can be adjusted on many apparatuses, allowing for both rear delt and chest to be exercised.",Isolated,Easy,Machine
83,Smith Bench Press,Lie supine on bench with chest under bar. Grasp bar with wide oblique overhand grip. Disengage bar by raising and rotating bar back. Lower weight to chest. Press bar until arms are extended. Repeat. Range of motion will be compromised if grip is too wide. Can be done on an incline to target upper pecs.,Compound,Medium,Smith machine
84,Barbell Bent-over Row,"Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip. Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat. Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight. If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. A shoulder width or underhand grip can increase lat involvement by emphasising shoulder extension over transverse extension.",Compound,Hard,Barbell
85,Cable Seated Row,"Sit slightly forward on seat or bench in order to grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend. Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat. Begin with light weight and add additional weight gradually to allow lower back adequate adaptation. Do not pause or bounce at bottom of lift. Do not lower weight beyond mild stretch. Full range of motion through lower back will vary from person to person.",Compound,Medium,Cable
